primary_key,Probability_of_Churn
100166,0.018267843
100167,0.020742707
100168,0.016320256
100169,0.015977149
100170,0.011716799
100171,0.017073021
100172,0.017408305
100173,0.025253944
100174,0.013460314
100175,0.044490372
100176,0.016709737
100177,0.020558925
100178,0.008158161
100179,0.016121367
100180,0.042926975
100181,0.012990875
100182,0.019520673
100183,0.008930691
100184,0.011271071
100185,0.027763853
100186,0.012987852
100187,0.026886481
100188,0.012685825
100189,0.052983408
100190,0.026402694
100191,0.02083584
100192,0.01358782
100193,0.013743604
100194,0.009624048
100195,0.051370142
100196,0.014580837
100197,0.026498049
100198,0.023918816
100199,0.032256824
100200,0.007240498
100201,0.009422926
100202,0.01146994
100203,0.02588977
100204,0.031544308
100205,0.027793876
100206,0.031661592
100207,0.032249411
100208,0.030799567
100209,0.022152187
100210,0.00993592
100211,0.02294925
100212,0.025150921
100213,0.018901273
100214,0.02419159
100216,0.014738703
100217,0.021472494
100218,0.01808596
100219,0.047560307
100220,0.009961472
100221,0.044167175
100222,0.025482102
100223,0.030374867
100224,0.018492186
100225,0.014106343
100226,0.05173812
100227,0.021502349
100228,0.020589846
100229,0.041954668
100230,0.026074146
100231,0.021031653
100232,0.03112835
100233,0.019357123
100234,0.050053116
100235,0.021225458
100236,0.004558277
100237,0.018314013
100238,0.019611518
100239,0.012021715
100240,0.022732525
100241,0.015099642
100242,0.055166593
100243,0.026528163
100244,0.012490056
100245,0.025842645
100246,0.009264581
100247,0.012082094
100248,0.024488216
100249,0.011703431
100250,0.001983875
100251,0.02539405
100252,0.014542211
100253,0.019631639
100254,0.020289778
100255,0.022380041
100256,0.017367896
100257,0.022886237
100258,0.031736788
100259,0.031113419
100260,0.017579359
100261,0.01375064
100262,0.033532349
100263,0.046585357
100264,0.02606422
100265,0.022906627
100266,0.018117466
100267,0.013293839
100268,0.015569621
100269,0.008424662
100270,0.105222587
100271,0.047385084
100272,0.012323111
100273,0.022903644
100274,0.02964634
100275,0.010887432
100276,0.014739336
100277,0.018198002
100278,0.015128483
100279,0.007437555
100280,0.015146828
100281,0.02841342
100282,0.020577539
100283,0.024704466
100284,0.026964939
100285,0.024028552
100286,0.024960898
100287,0.024406015
100288,0.033542175
100289,0.033734839
100290,0.007667999
100291,0.031544438
100292,0.020571956
100293,0.018128868
100294,0.0209921
100295,0.038854159
100296,0.025826579
100297,0.012035306
100298,0.024160381
100299,0.010425349
100300,0.033692241
100301,0.009924468
100302,0.016690228
100303,0.01727783
100304,0.021283727
100305,0.017167897
100306,0.024798305
100307,0.00905221
100308,0.050147307
100309,0.009382283
100310,0.0294139
100311,0.01465136
100312,0.006375717
100313,0.016513499
100314,0.017704299
100315,0.021707707
100316,0.009726447
100317,0.017611952
100318,0.021665315
100319,0.023625249
100320,0.02064771
100321,0.017166226
100322,0.009117654
100323,0.01360308
100324,0.02564004
100325,0.012124307
100326,0.012036526
100327,0.014678134
100328,0.032103406
100329,0.025256897
100330,0.006764409
100331,0.017670038
100332,0.025947339
100333,0.022915147
100334,0.036587833
100335,0.014936521
100336,0.017791636
100337,0.015079315
100338,0.009435933
100339,0.009755278
100340,0.114271104
100341,0.02046186
100342,0.024264751
100343,0.014998564
100344,0.014557199
100345,0.029143305
100346,0.007856235
100347,0.048614836
100348,0.01941376
100349,0.011684862
100350,0.025223584
100351,0.02347818
100352,0.029978097
100353,0.029433038
100354,0.022957252
100355,0.033069466
100356,0.01350902
100357,0.022882774
100358,0.020555039
100359,0.067215268
100360,0.016165045
100361,0.018875911
100362,0.01508405
100363,0.014975551
100364,0.01048648
100365,0.014564394
100366,0.029914984
100367,0.019972744
100368,0.019814523
100369,0.027487093
100370,0.029383515
100371,0.011133285
100372,0.009886911
100373,0.085178375
100374,0.015447732
100375,0.012144882
100376,0.010051474
100377,0.037415577
100378,0.009872765
100379,0.02955497
100380,0.026046238
100381,0.018012586
100382,0.018761421
100383,0.034955783
100384,0.010247733
100385,0.01376715
100386,0.042290409
100387,0.029231156
100388,0.092996599
100389,0.008695001
100390,0.036533629
100391,0.02020448
100392,0.013728548
100393,0.031343719
100394,0.055938935
100395,0.008403357
100396,0.035231686
100397,0.005142947
100398,0.019764156
100399,0.030927233
100400,0.01188648
100401,0.00053623
100402,0.010430896
100403,0.028067501
100404,0.000314414
100405,0.012952291
100406,0.009526092
100407,0.014983993
100408,0.025843136
100409,0.018740432
100410,0.012023274
100411,0.014305207
100412,0.04397997
100413,0.032614579
100414,0.020476379
100415,0.01988509
100416,0.073088458
100417,0.011448383
100418,0.011655989
100419,0.019693679
100420,0.038869222
100421,0.017131939
100422,0.005431536
100423,0.014122387
100424,0.016401944
100425,0.03033912
100426,0.019581128
100427,0.028178684
100428,0.019931123
100429,0.017484622
100430,0.01093084
100431,0.011264091
100432,0.029127574
100433,0.016962469
100434,0.010165403
100435,0.016915608
100436,0.011507552
100437,0.001522471
100438,0.040033028
100439,0.011644828
100440,0.019238832
100441,0.024845833
100442,0.01741856
100443,0.009255529
100444,0.025230569
100445,0.014575891
100446,0.010456944
100447,0.008004854
100448,0.012192973
100449,0.037429472
100450,0.03250284
100451,0.01120345
100452,0.03801043
100453,0.018950449
100454,0.014303235
100455,0.028630771
100456,0.014171007
100457,0.012721615
100458,0.072678358
100459,0.011855704
100460,0.01983009
100461,0.031555316
100462,0.016899744
100463,0.002811088
100464,0.009440619
100465,0.01089967
100466,0.058596994
100467,0.056643221
100468,0.032594435
100469,0.010265061
100470,0.010148817
100471,0.010950463
100472,0.007306138
100473,0.028147823
100474,0.036477271
100475,0.01287242
100476,0.021551317
100477,0.011630732
100478,0.017027491
100479,0.01644605
100480,0.015996528
100481,0.053986432
100482,0.014561626
100483,0.023168398
100484,0.018477065
100485,0.021669635
100486,0.025569901
100487,0.021452947
100488,0.05367887
100489,0.011948607
100490,0.01061996
100491,0.010909872
100492,0.013748867
100493,0.005714646
100494,0.020712359
100495,0.033469981
100496,0.045553979
100497,0.028856662
100498,0.012780952
100499,0.016398291
100500,0.025273839
100501,0.001129767
100502,0.030516446
100503,0.022980525
100504,0.021435278
100505,0.0126451
100506,0.024224314
100507,0.014257026
100508,0.039867213
100509,0.006392943
100510,0.024325829
100511,0.033246704
100512,0.077077369
100513,0.015868666
100514,0.022573023
100515,0.020554106
100516,0.01658627
100517,0.051125431
100518,0.024301181
100519,0.018310387
100520,0.019100045
100521,0.038662333
100522,0.032422264
100523,0.001563326
100524,0.030426109
100525,0.021657155
100526,0.018445297
100527,0.030340577
100528,0.015587444
100529,0.014131735
100530,0.015268604
100531,0.006064893
100532,0.016570696
100533,0.012098041
100534,0.015325346
100535,0.035294406
100536,0.019377595
100537,0.014928676
100538,0.026267915
100539,0.053217165
100540,0.023490236
100541,0.008730862
100542,0.022843387
100543,0.033193711
100544,0.045252318
100545,0.007296857
100546,0.028885478
100547,0.009134394
100548,0.006155848
100549,0.057479777
100550,0.016035404
100551,0.012038553
100552,0.019462869
100553,0.009545942
100554,0.008764622
100555,0.029238733
100556,0.026057186
100557,0.001030277
100558,0.020487111
100559,0.023190472
100560,0.054948666
100561,0.030725254
100562,0.070797685
100563,0.014058761
100564,0.019997937
100565,0.039204415
100566,0.016793507
100567,0.026756946
100568,0.000284979
100569,0.020701813
100570,0.004497475
100571,0.034356773
100572,0.007974526
100573,0.0146706
100574,0.017177033
100575,0.028786116
100576,0.017186976
100577,0.009573413
100578,0.027735634
100579,0.019444963
100580,0.027507553
100581,0.029651287
100582,0.021024004
100583,0.0168555
100584,0.047234125
100585,0.020687298
100586,0.015045598
100587,0.014141978
100588,0.020476802
100589,0.023046752
100590,0.001960616
100591,0.010543412
100592,0.00879337
100593,0.015224428
100594,0.022377164
100595,0.011811065
100596,0.021742298
100597,0.017493064
100598,0.006921352
100599,0.013578877
100600,0.030530377
100601,0.025603299
100602,0.021034427
100603,0.018551245
100604,0.019511042
100605,0.018023165
100606,0.018133291
100607,0.071970925
100608,0.03655302
100609,0.04562024
100610,0.018622253
100611,0.016984484
100612,0.012298665
100613,0.021615942
100614,0.037192211
100615,0.029066407
100616,0.018305514
100617,0.012570411
100618,0.026308311
100619,0.056349403
100620,0.022741779
100621,0.022326472
100622,0.027060561
100623,0.017293308
100624,0.081100375
100625,0.036026107
100626,0.067804474
100627,0.025977134
100628,0.025144379
100629,0.021498645
100630,0.025494151
100631,0.02134626
100632,0.011838043
100633,0.013065543
100634,0.011037215
100635,0.014189881
100636,0.03149405
100637,0.044118026
100638,0.028563273
100639,0.011501649
100640,0.018689403
100641,0.017344906
100642,0.010642235
100643,0.018219354
100644,0.044381312
100645,0.052703774
100646,0.022196597
100647,0.020342353
100648,0.024442467
100649,0.032665743
100650,0.0251888
100651,0.008696256
100652,0.014005411
100653,0.020940457
100654,0.012368951
100655,0.006520541
100656,0.013158597
100657,0.029904068
100658,0.025003815
100659,0.006168857
100660,0.04888118
100661,0.008785333
100662,0.024752417
100663,0.018754766
100664,0.019571213
100665,0.014641096
100666,0.035568517
100667,0.024199512
100668,0.01130755
100669,0.014247679
100670,0.01524279
100671,0.012415294
100672,0.012174428
100673,0.019739138
100674,0.006864855
100675,0.021650539
100676,0.033632541
100677,0.010832064
100678,0.015934852
100679,0.020996646
100680,0.011478852
100681,0.051029886
100682,0.017173721
100683,0.012845953
100684,0.024635836
100685,0.007576137
100686,0.013611128
100687,0.024280041
100688,0.011081655
100689,0.02035912
100690,0.017188437
100691,0.029563038
100692,0.022605278
100693,0.009672599
100694,0.024196406
100695,0.009365709
100696,0.01068674
100697,0.023375119
100698,0.024473385
100699,0.02790728
100700,0.029865589
100701,0.035494533
100702,0.03307373
100703,0.016994067
100704,0.020792915
100705,0.013392218
100706,0.020098877
100707,0.017404652
100708,0.022197171
100709,0.031927062
100710,0.04149294
100711,0.019615221
100712,0.017882166
100713,0.017899796
100714,0.032501917
100715,0.018332129
100716,0.041930105
100717,0.033832252
100718,0.026961437
100719,0.0160288
100720,0.110513216
100721,0.029087678
100722,0.023108207
100723,0.018438225
100724,0.010912362
100725,0.014914656
100726,0.020122155
100727,0.028230637
100728,0.014876462
100729,0.026830299
100730,0.016338491
100731,0.014531252
100732,0.058049197
100733,0.013820247
100734,0.011893293
100735,0.01339828
100736,0.023954819
100737,0.012382323
100738,0.019542185
100739,0.012024801
100740,0.017990877
100741,0.017243867
100742,0.028149513
100743,0.013083311
100744,0.019007835
100745,0.012761469
100746,0.015842738
100747,0.013499437
100748,0.037240044
100749,0.016735331
100750,0.031181456
100751,0.036313446
100752,0.01682326
100753,0.027219382
100754,0.010762925
100755,0.014198067
100756,0.009806834
100757,0.029521217
100758,0.012292935
100759,0.025210543
100760,0.012925379
100761,0.001389845
100762,0.016624093
100763,0.026527169
100764,0.020616805
100765,0.011960829
100766,0.016644453
100767,0.024967013
100768,0.029951739
100769,0.037736173
100770,0.013348668
100771,0.006675085
100772,0.015724684
100773,0.033495564
100774,0.013243213
100775,0.032287276
100776,0.065254497
100777,0.022400779
100778,0.010878936
100779,0.016753531
100780,0.030373941
100781,0.017791327
100782,0.014223022
100783,0.008763326
100784,0.030385208
100785,0.011610538
100786,0.006948177
100787,0.01370655
100788,0.011808155
100789,0.031453088
100790,0.021206086
100791,0.015083684
100792,0.038436711
100793,0.046453701
100794,0.014983682
100795,0.031588921
100796,0.00739611
100797,0.023934046
100798,0.019344307
100799,0.021999538
100800,0.025681216
100801,0.041573512
100802,0.021679349
100803,0.00756734
100804,0.022594185
100805,0.020413071
100806,0.018793049
100807,0.026387172
100808,0.02208111
100809,0.0095694
100810,0.022650977
100811,0.009634888
100812,0.026201175
100813,0.019100645
100814,0.01899075
100815,0.000335755
100816,0.037781453
100817,0.021070282
100818,0.011166744
100819,0.022373809
100820,0.046688472
100821,0.008890334
100822,0.020240159
100823,0.020978809
100824,0.020752911
100825,0.036959022
100826,0.014518492
100827,0.034817651
100828,0.026834121
100829,0.034165313
100830,0.021936951
100831,0.013761964
100832,0.023022515
100833,0.014533455
100834,0.018684833
100835,0.01362804
100836,0.014952721
100837,0.035392423
100838,0.030628075
100839,0.038521343
100840,0.022575497
100841,0.023352258
100842,0.016146159
100843,0.028484469
100844,0.013631893
100845,0.01178718
100846,0.022311565
100847,0.011547389
100848,0.009904737
100849,0.021903463
100850,0.011438734
100851,0.015428755
100852,0.020882814
100853,0.014164828
100854,0.034022563
100855,0.013204746
100856,0.010840347
100857,0.013021466
100858,0.028249901
100859,0.020723981
100860,0.044612596
100861,0.013804914
100862,0.013761259
100863,0.028809994
100864,0.041460874
100865,0.016901832
100866,0.01238374
100867,0.022907238
100868,0.012131685
100869,0.005355696
100870,0.013415835
100871,0.004516152
100872,0.018576225
100873,0.016202332
100874,0.011274947
100875,0.014772227
100876,0.022278886
100877,0.019535073
100878,0.014263464
100879,0.010651402
100880,0.015441231
100881,0.016019604
100882,0.028435895
100883,0.007604194
100884,0.015405213
100885,0.021497425
100886,0.036294022
100887,0.006633942
100888,0.033381246
100889,0.018657481
100890,0.020783917
100891,0.030839599
100892,0.023121898
100893,0.006882788
100894,0.019378704
100895,0.020769939
100896,0.034336984
100897,0.00075591
100898,0.030408397
100899,0.023716177
100900,0.024048355
100901,0.024523053
100902,0.0143594
100903,0.019171065
100904,0.010884389
100905,0.022107125
100906,0.014805615
100907,0.020357531
100908,0.021717246
100909,0.02088417
100910,0.015523701
100911,0.019064957
100912,0.014480006
100913,0.01635866
100914,0.027782123
100915,0.026331389
100916,0.027168442
100917,0.014105872
100918,0.015487216
100919,0.006374286
100920,0.074742523
100921,0.018595386
100922,0.017621264
100923,0.031436702
100924,0.031275432
100925,0.013094222
100926,0.024385339
100927,0.012922395
100928,0.031278356
100929,0.015766716
100930,0.022536097
100931,0.01726881
100932,0.012968259
100933,0.020043935
100934,0.040259068
100935,0.012954932
100936,0.008201296
100937,0.01041832
100938,0.032388006
100939,0.012223847
100940,0.039627444
100941,0.018580582
100942,0.02887301
100943,0.021044961
100944,0.000905333
100945,0.019483458
100946,0.010752969
100947,0.016906256
100948,0.036232894
100949,0.062402445
100950,0.018376962
100951,0.022841376
100952,0.026163466
100953,0.038206174
100954,0.026105076
100955,0.039030712
100956,0.040711153
100957,0.012453756
100958,0.006744084
100959,0.013197474
100960,0.021207903
100961,0.035071447
100962,0.023030264
100963,0.027499612
100964,0.060629589
100965,0.026001965
100966,0.071458496
100967,0.015905632
100968,0.01080866
100969,0.066447668
100970,0.040256532
100971,0.007260552
100972,0.026860077
100973,0.01155666
100974,0.025705828
100975,0.025199667
100976,0.025404439
100977,0.018290305
100978,0.01988611
100979,0.020042716
100980,0.025188039
100981,0.018114814
100982,0.014773895
100983,0.024302262
100984,0.002665583
100985,0.012208177
100986,0.014019576
100987,0.014813604
100988,0.019331276
100989,0.01719649
100990,0.025309221
100991,0.075115394
100992,0.032838783
100993,0.025586689
100994,0.019146329
100995,0.025245942
100996,0.000580068
100997,0.01460918
100998,0.021377953
100999,0.028507356
101000,0.013264673
101001,0.061839506
101002,0.012973551
101003,0.024706674
101004,0.039618729
101005,0.008211326
101006,0.007756375
101007,0.023292529
101008,0.016840156
101009,0.009521798
101010,0.013091156
101011,0.026254655
101012,0.050482001
101013,0.011194215
101014,0.012718344
101015,0.04713263
101016,0.000771669
101017,0.02120705
101018,0.030984093
101019,0.008170823
101020,0.023155484
101021,0.046410906
101022,0.008819357
101023,0.021799626
101024,0.000675142
101025,0.012938194
101026,0.018333583
101027,0.064878312
101028,0.014870081
101029,0.010361421
101030,0.008177596
101031,0.009369915
101032,0.068311296
101033,0.016472991
101034,0.035425019
101035,0.042320245
101036,0.014687563
101037,0.020321523
101038,0.024154616
101039,0.043711227
101040,0.016887655
101041,0.014139947
101042,0.026174101
101043,0.038688928
101044,0.0160815
101045,0.010390422
101046,0.013692735
101047,0.033468505
101048,0.018451796
101049,0.033138588
101050,0.015773716
101051,0.018899075
101052,0.050434839
101053,0.016652183
101054,0.024127698
101055,0.030915219
101056,0.021515433
101057,0.009703439
101058,0.013624799
101059,0.01169313
101060,0.014218724
101061,0.033515435
101062,0.017020261
101063,0.017550462
101064,0.034336695
101065,0.033720368
101066,0.043699075
101067,0.029918546
101068,0.035019391
101069,0.031919471
101070,0.022197593
101071,0.015520757
101072,0.007542786
101073,0.025014218
101074,0.013328209
101075,0.022587659
101076,0.199688014
101077,0.016485428
101078,0.01231654
101079,0.005511836
101080,0.011073285
101081,0.020233101
101082,0.028902034
101083,0.024096421
101084,0.023112083
101085,0.012677917
101086,0.037154475
101087,0.01479965
101088,0.042869234
101089,0.01654866
101090,0.012555581
101091,0.014053501
101092,0.013246548
101093,0.019349229
101094,0.03091664
101095,0.014278351
101096,0.040522348
101097,0.029832714
101098,0.010230829
101099,0.019373595
101100,0.061234117
101101,0.058972994
101102,0.039187485
101103,0.028827179
101104,0.025834873
101105,0.018859354
101106,0.011628295
101107,0.014900126
101108,0.021931991
101109,0.017008418
101110,0.01772428
101111,0.01182371
101112,0.022057434
101113,0.001894408
101114,0.037155659
101115,0.008088308
101116,0.027201092
101117,0.025153406
101118,0.003351365
101119,0.01134569
101120,0.023374623
101121,0.028062989
101122,0.015507511
101123,0.024316099
101124,0.035147559
101125,0.027338781
101126,0.036609469
101127,0.024714895
101128,0.012996028
101129,0.033561276
101130,0.020187538
101131,0.036066908
101132,0.022035133
101133,0.014715416
101134,0.000983641
101135,0.03015
101136,0.029789395
101137,0.022817456
101138,0.04208108
101139,0.010194792
101140,0.018259752
101141,0.000377059
101142,0.021576527
101143,0.018018668
101144,0.045443913
101145,0.015330922
101146,0.000455304
101147,0.018526559
101148,0.014518954
101149,0.015900234
101150,0.012898966
101151,0.030746651
101152,0.038422368
101153,0.044077381
101154,0.017217214
101155,0.022638891
101156,0.011397639
101157,0.018762022
101158,0.01259416
101159,0.022376545
101160,0.009784736
101161,0.054123044
101162,0.014870077
101163,0.016743471
101164,0.022477373
101165,0.008692822
101166,0.008672056
101167,0.008701266
101168,0.017797165
101169,0.039363447
101170,0.012911733
101171,0.020666153
101172,0.022345893
101173,0.011929172
101174,0.027249222
101175,0.032400045
101176,0.007540552
101177,0.013931557
101178,0.036520527
101179,0.031283797
101180,0.021262941
101181,0.012526149
101182,0.016303291
101183,0.050956788
101184,0.013156953
101185,0.013367546
101186,0.014351429
101187,0.019627971
101188,0.02899614
101189,0.011521972
101190,0.012426733
101191,0.029248228
101192,0.014245139
101193,0.01139301
101194,0.017701258
101195,0.036238004
101196,0.067163802
101197,0.030109169
101198,0.034992933
101199,0.040060951
101200,0.029557356
101201,0.014356725
101202,0.021169676
101203,0.013280807
101204,0.03551455
101205,0.013140843
101206,0.020057647
101207,0.011537856
101208,0.046877898
101209,0.018025671
101210,0.017591139
101211,0.029049227
101212,0.02225233
101213,0.014964644
101214,0.010947088
101215,0.020883768
101216,0.040648375
101217,0.018150516
101218,0.009436865
101219,0.016804157
101220,0.046027817
101221,0.019296917
101222,0.018631133
101223,0.010394299
101224,0.02333942
101225,0.039520998
101226,0.02981496
101227,0.054537074
101228,0.018497847
101229,0.036410449
101230,0.014325859
101231,0.014625042
101232,0.02386486
101233,0.033520737
101234,0.021304087
101235,0.026867706
101236,0.045988606
101237,0.02821931
101238,0.009471246
101239,0.010804007
101240,0.021684301
101241,0.023552347
101242,0.007400937
101243,0.01573928
101244,0.03741158
101245,0.000280248
101246,0.028870716
101247,0.012160591
101248,0.020847229
101249,0.019476942
101250,0.026454877
101251,0.012856309
101252,0.001218818
101253,0.018323707
101254,0.021770714
101255,0.015315502
101256,0.008375654
101257,0.033260323
101258,0.01883059
101259,0.020557704
101260,0.029030229
101261,0.01922834
101262,0.030401923
101263,0.012620608
101264,0.020387629
101265,0.018052619
101266,0.021781369
101267,0.014142539
101268,0.017930629
101269,0.030491606
101270,0.012419044
101271,0.034680793
101272,0.006096468
101273,0.016412015
101274,0.042178407
101275,0.013476841
101276,0.0500178
101277,0.018029289
101278,0.011087687
101279,0.01822596
101280,0.006005741
101281,0.029531633
101282,0.015651637
101283,0.021959186
101284,0.020829454
101285,0.026857475
101286,0.012782485
101287,0.015612633
101288,0.022431149
101289,0.024821108
101290,0.017695096
101291,0.009467065
101292,0.020675287
101293,0.014076951
101294,0.04124732
101295,0.01534105
101296,0.015170644
101297,0.139993365
101298,0.013558311
101299,0.014891872
101300,0.00178656
101301,0.011498058
101302,0.014094132
101303,0.01359177
101304,0.00634938
101305,0.018356835
101306,0.017709764
101307,0.017770473
101308,0.025131532
101309,0.022664094
101310,0.029295828
101311,0.034191483
101312,0.020887948
101313,0.029461321
101314,0.022555684
101315,0.013589361
101316,0.021109054
101317,0.020852539
101318,0.016923364
101319,0.025971567
101320,0.003024618
101321,0.013892108
101322,0.003106547
101323,0.008453584
101324,0.037275677
101325,0.009450292
101326,0.000456473
101327,0.020303776
101328,0.010897583
101329,0.017630929
101330,0.020096759
101331,0.011121149
101332,0.024034853
101333,0.009423375
101334,0.010026454
101335,0.03508006
101336,0.013614029
101337,0.026158978
101338,0.014223958
101339,0.01507144
101340,0.041928649
101341,0.016034122
101342,0.024469457
101343,0.020866103
101344,0.021432224
101345,0.003628844
101346,0.022955179
101347,0.014246812
101348,0.022976357
101349,0.00755879
101350,0.021790928
101351,0.018609471
101352,0.03372288
101353,0.006431311
101354,0.044799144
101355,0.021178131
101356,0.027411008
101357,0.006030709
101358,0.015881055
101359,0.036145293
101360,0.009047744
101361,0.092349863
101362,0.023551489
101363,0.035964334
101364,0.013775796
101365,0.008620837
101366,0.017327872
101367,0.017192801
101368,0.012823185
101369,0.026627672
101370,0.022650609
101371,0.006457381
101372,0.013004232
101373,0.010937024
101374,0.008424976
101375,0.00404991
101376,0.024060196
101377,0.018484456
101378,0.011206978
101379,0.000394213
101380,0.018729258
101381,0.046307916
101382,0.012247263
101383,0.011322858
101384,0.008842969
101385,0.019409302
101386,0.044745228
101387,0.01789713
101388,0.016824297
101389,0.032682071
101390,0.016872057
101391,0.013365455
101392,0.02545904
101393,0.023854766
101394,0.013132433
101395,0.013591348
101396,0.014380272
101397,0.032160691
101398,0.000934867
101399,0.02242314
101400,0.014898782
101401,0.019765
101402,0.056491203
101403,0.027536833
101404,0.013596965
101405,0.019217708
101406,0.014461247
101407,0.045156086
101408,0.011161773
101409,0.046163965
101410,0.021434604
101411,0.038034641
101412,0.019873318
101413,0.014417488
101414,0.033678402
101415,0.014222477
101416,0.023335957
101417,0.019085445
101418,0.017355463
101419,0.007186702
101420,0.012663901
101421,0.018358637
101422,0.020221819
101423,0.023748484
101424,0.010241582
101425,0.018137487
101426,0.016173626
101427,0.007437254
101428,0.018543444
101429,0.020336353
101430,0.032970292
101431,0.030242877
101432,0.008057283
101433,0.014293392
101434,0.053602079
101435,0.012104075
101436,0.013793504
101437,0.013180806
101438,0.011518969
101439,0.016598724
101440,0.010920366
101441,0.021526104
101442,0.008792995
101443,0.016608783
101444,0.006963136
101445,0.021011217
101446,0.02514808
101447,0.017915171
101448,0.012124032
101449,0.020909885
101450,0.029072926
101451,0.010587241
101452,0.016748958
101453,0.028708636
101454,0.023435352
101455,0.01335125
101456,0.028569921
101457,0.037323124
101458,0.013055608
101459,0.025220729
101460,0.007329447
101461,0.036659047
101462,0.002538169
101463,0.028178002
101464,0.041037395
101465,0.01550359
101466,0.009571204
101467,0.020837264
101468,0.043796299
101469,0.011414724
101470,0.014832787
101471,0.051662914
101472,0.014488465
101473,0.016655015
101474,0.014238797
101475,0.018291578
101476,0.012479259
101477,0.022995969
101478,0.013990327
101479,0.020216429
101480,0.012228738
101481,0.016433835
101482,0.017473902
101483,0.008666017
101484,0.049661216
101485,0.017474121
101486,0.045125222
101487,0.02927708
101488,0.0023706
101489,0.01727198
101490,0.014777122
101491,0.047955252
101492,0.023646548
101493,0.112357392
101494,0.009390382
101495,0.016435255
101496,0.012973879
101497,0.026432829
101498,0.003303887
101499,0.016206372
101500,0.011646552
101501,0.018891041
101502,0.000694119
101503,0.023039284
101504,0.018373636
101505,0.013439564
101506,0.016186073
101507,0.02453738
101508,0.06224252
101509,0.023280597
101510,0.019745498
101511,0.024736938
101512,0.014568696
101513,0.011971157
101514,0.026704726
101515,0.014907501
101516,0.041136611
101517,0.022777699
101518,0.014046674
101519,0.027463559
101520,0.011086855
101521,0.004876755
101522,0.010570986
101523,0.022319889
101524,0.006852165
101525,0.023568139
101526,0.01335254
101527,0.017247499
101528,0.033692359
101529,0.014641201
101530,0.022577292
101531,0.011500291
101532,0.008819643
101533,0.033968536
101534,0.025077982
101535,0.011810904
101536,0.024758218
101537,0.014791304
101538,0.020071524
101539,0.0240354
101540,0.025405345
101541,0.01880353
101542,0.017775822
101543,0.022342018
101544,0.031830243
101545,0.01609901
101546,0.004318905
101547,0.012636776
101548,0.019054817
101549,0.021627957
101550,0.033952392
101551,0.023744104
101552,0.040684557
101553,0.02548398
